id,name,community,degree
facebook.com/1570858483127132,TODOS POR UN PRESIDENTE HONESTO Y HUMANO!,6,281
facebook.com/groups/1002885193081843,"FRENTE CIUDADAN☀️ , VAM☀️S  A  V☀️LVER ",8,81
facebook.com/groups/1204082736347818,"Apoyo la independencia, comparto las Noticias Uno",6,329
facebook.com/groups/1631648493786085,CONDUCCION CFK 2025 2027.,8,346
facebook.com/groups/179704450258548,🇦🇷 Cristina Kirchner (Somos 49.000 | Grupo De VLV-Viralizando La Verdad),8,277
facebook.com/groups/240672156943212,UNION POR LA PATRIA🇦🇷MINISTERIO DE ECONOMIA,8,144
facebook.com/groups/3664127793683523,CRISTINA presidenta de Corazones. AXEL conducción,8,155
facebook.com/groups/420321225113942,UNION POR LA PATRIA,8,153
facebook.com/groups/450419766142108,CRISTINISTAS,8,157
facebook.com/groups/499398750104513,Cristina Fernandez de Kirchner / Instituto Patria,8,117
facebook.com/groups/551104030561821,UNIÓN POR LA PATRIA 🇦🇷 2023 🇦🇷,8,257
facebook.com/groups/1982606182002511,ENGAÑADOS POR MILEI,8,160
facebook.com/groups/320291892449484,Axel Presidente 🇦🇷(Somos 200.000 | Grupo De VLV - Viralizando La Verdad),8,405
facebook.com/744575952311738,CRISTINA PARA LIBERACIÓN 23 ¡¡SOLO KIRCHNERISTAS!!,8,178
facebook.com/groups/129675914250956,"Centro de Formación Política, Económica, Social.",8,46
facebook.com/groups/1678399709044882,SOMOS EL PUEBLO,8,130
facebook.com/groups/1891076381161623,¡¡Grupo de Apoyo a Rodolfo Tailhade!!,8,142
facebook.com/groups/327153129410240,Somos La Resistencia,8,225
facebook.com/groups/539895820075856,Cristina 2023 (Somos 49.000 | Grupo De VLV - Viralizando La Verdad),8,275
facebook.com/groups/743331466038683,C5N DEBATE,8,11
facebook.com/1602968736688666,Morena Camina con AMLO,1,471
facebook.com/195759797691449,Jóvenes con Claudia Sheinbaum y AMLO.,1,311
facebook.com/664444363701859,ESTAMOS CON AMLO Y CON CLAUDIA SHEINBAUM,1,472
facebook.com/931609367228181,𝗔𝗠𝗟𝗢 𝗡𝗢 𝗘𝗦𝗧𝗔𝗦 𝗦𝗢𝗟𝗢,1,511
facebook.com/974245736072124,MI PRESIDENTE. ANDRES MANUEL LOPEZ OBRADOR. - #AMLOVERS,1,132
facebook.com/groups/1029996454698037,Dra.Claudia Sheinbaum Pardo,1,257
facebook.com/groups/1045146918829856,morena.mx,1,280
facebook.com/groups/1260143590682984,Alerta Roja Acapulco,1,56
facebook.com/groups/1354851511290343,Seguidores de Bernabe Adame D,1,90
facebook.com/groups/1384883125083957,Denuncia Ciudadana Colima,1,36
facebook.com/groups/1644586892420262,Aristegui Noticias,1,201
